Предмет,id вопроса,Класс,Номер вопроса
informatics,1,7,1
informatics,2,7,1
informatics,3,7,1
informatics,4,7,1
informatics,5,9,1
informatics,15,9,1
informatics,6,9,2
informatics,7,9,3
informatics,8,9,4
informatics,9,9,5
informatics,10,9,6
informatics,11,9,7
informatics,12,9,8
informatics,13,9,9
informatics,14,9,10
